Gene.ID,WTD_N_F.FC,WTD_N_F.p,WTD_N_F.q,WTDL_N_F.FC,WTDL_N_F.p,WTDL_N_F.q,WTWL_N_F.FC,WTWL_N_F.p,WTWL_N_F.q
atU1-10,-2.694614184,1.64E-28,3.28E-27,-1.483611321,1.09E-09,6.64E-09,1.905847254,5.34E-15,4.40E-14
atU1-11p,0,1,NA,-0.797186233,0.931504932,NA,0,1,NA
atU1-12p,-0.48416912,0.082034273,0.142227521,0.606011059,0.029749148,0.057245007,3.940516193,1.09E-41,2.93E-40
atU1-13p,-2.598891913,0.778866099,NA,0,1,NA,0,1,NA
atU1-14p,-1.667500098,0.857005491,NA,0,1,NA,0,1,NA
atU12,-0.434111317,0.047444174,0.089391637,0.893315987,4.64E-05,0.000157992,4.54895883,1.71E-89,1.64E-87
atU1-2,-2.458287425,4.12E-24,6.72E-23,-1.444097236,2.69E-09,1.58E-08,1.90097943,4.86E-15,4.02E-14
atU1-3,-2.587284426,1.48E-23,2.33E-22,-1.620930968,3.69E-10,2.36E-09,1.763429019,9.34E-12,6.13E-11
atU1-4,-2.429678435,2.75E-21,3.81E-20,-1.361705888,1.11E-07,5.36E-07,2.000652057,6.36E-15,5.22E-14
atU1-5,-2.405038814,2.69E-20,3.53E-19,-1.432624859,3.83E-08,1.97E-07,1.83095499,2.12E-12,1.46E-11
atU1-6,-2.302061799,2.86E-24,4.70E-23,-1.269383702,2.09E-08,1.11E-07,1.923533253,2.02E-17,1.92E-16
atU1-7,-2.298941906,3.20E-24,5.24E-23,-1.267380996,2.18E-08,1.15E-07,1.923521433,1.98E-17,1.89E-16
atU1-8,-2.147668622,6.04E-21,8.22E-20,-0.871560953,0.000139151,0.000439956,2.084594379,8.69E-20,9.46E-19
atU1-9,-2.042817088,2.39E-17,2.64E-16,-0.812446044,0.000753608,0.002105303,2.171979718,2.26E-19,2.39E-18
atU1a,-2.434332362,3.31E-20,4.31E-19,-1.402790482,1.12E-07,5.41E-07,2.006774149,3.23E-14,2.53E-13
atU2.2,-3.404807523,2.16E-42,7.39E-41,-1.675946408,2.05E-11,1.48E-10,1.407080896,1.90E-08,9.51E-08
atU2.3,-2.975248734,2.80E-38,8.26E-37,-1.468818894,1.71E-10,1.13E-09,1.441201731,3.85E-10,2.24E-09
atU2.4,-2.782950873,6.10E-31,1.36E-29,-1.316524874,4.48E-08,2.28E-07,1.446339178,1.90E-09,1.04E-08
atU2.5,-4.377689058,7.79E-62,4.47E-60,-2.700977495,1.38E-24,2.70E-23,1.150431217,1.35E-05,4.90E-05
atU2.6,-3.066154708,1.10E-30,2.42E-29,-1.648622815,6.03E-10,3.78E-09,1.507153864,1.61E-08,8.13E-08
atU2.7,-3.15272359,1.09E-44,4.02E-43,-1.618105569,6.17E-13,5.18E-12,1.160430365,2.55E-07,1.13E-06
atU2.9,-1.510782266,5.97E-06,2.38E-05,-0.012364641,0.970455637,0.978482783,2.985629999,4.30E-19,4.49E-18
atU2-1,-2.346184487,4.53E-20,5.85E-19,-0.929679333,0.00027818,0.000837021,2.090293044,3.21E-16,2.82E-15
atU2-10,-2.041914102,4.89E-12,3.74E-11,-0.67154318,0.023101429,0.045916368,2.235276396,4.11E-14,3.20E-13
atU2-10b/12,-1.890504082,2.44E-10,1.61E-09,-0.483427186,0.105531686,0.170431342,2.29061086,1.77E-14,1.41E-13
atU2-11,-2.874331849,1.55E-36,4.31E-35,-1.385310343,1.18E-09,7.20E-09,1.355107721,2.89E-09,1.56E-08
atU2-13,-3.163762561,2.13E-43,7.53E-42,-1.645983495,6.71E-13,5.62E-12,1.204227323,1.52E-07,6.91E-07
atU2-14,-3.108114107,1.87E-42,6.43E-41,-1.523532308,2.20E-11,1.59E-10,1.438316418,2.91E-10,1.71E-09
atU2-15,-2.351936083,2.39E-19,2.97E-18,-0.798488783,0.002279326,0.005779904,2.275109952,3.84E-18,3.82E-17
atU2-16,-0.388339955,0.355815604,0.475610256,0.928161985,0.028358152,0.054893838,4.705492762,4.64E-26,6.77E-25
