Gene.ID,WTD_SM_P.FC,WTD_SM_P.p,WTD_SM_P.q,WTDL_SM_P.FC,WTDL_SM_P.p,WTDL_SM_P.q,WTWL_SM_P.FC,WTWL_SM_P.p,WTWL_SM_P.q
atU1-10,3.03566364,5.08E-27,5.73E-25,2.645442825,2.38E-21,2.25E-19,2.936944303,3.92E-22,3.21E-20
atU1-11p,0,1,NA,0,1,NA,0,1,NA
atU1-12p,4.34486006,0.003036219,0.021857673,1.347258657,0.394096108,0.631370838,3.337222246,8.05E-05,0.000575534
atU1-13p,4.093474918,0.658501935,NA,0,1,NA,0,1,NA
atU1-14p,0,1,NA,0,1,NA,0,1,NA
atU12,3.561882052,3.46E-15,1.67E-13,3.228584021,7.71E-10,1.96E-08,0.933729242,0.025251364,0.078733565
atU1-2,3.477841002,3.96E-45,1.07E-42,3.080060867,4.30E-36,1.05E-33,2.82384146,3.97E-30,6.83E-28
atU1-3,3.460003978,3.52E-40,7.42E-38,3.110797001,5.81E-33,1.21E-30,2.823011572,3.60E-27,4.61E-25
atU1-4,3.377491744,2.73E-38,5.42E-36,2.983483255,1.98E-30,3.64E-28,2.553931547,1.43E-21,1.11E-19
atU1-5,3.323507736,5.18E-37,9.61E-35,3.311589617,7.81E-37,2.03E-34,3.042147954,3.63E-31,6.52E-29
atU1-6,3.259561638,1.02E-46,2.95E-44,3.173692812,1.84E-44,7.60E-42,2.894228652,4.20E-37,1.22E-34
atU1-7,3.258699431,1.02E-46,2.95E-44,3.174575615,1.65E-44,6.94E-42,2.893884898,4.10E-37,1.21E-34
atU1-8,3.017019833,2.74E-33,4.32E-31,2.950941407,8.68E-34,1.95E-31,2.941455956,5.17E-29,8.00E-27
atU1-9,3.23610237,1.11E-35,1.97E-33,2.846997575,1.25E-28,2.05E-26,2.99581479,9.10E-29,1.37E-26
atU1a,3.417304138,5.34E-37,9.84E-35,2.906122595,1.90E-27,2.87E-25,2.570943424,7.07E-21,5.20E-19
atU2.2,0.96267145,0.113078988,0.302218403,1.387171294,0.001930795,0.011245934,0.989855956,0.006478003,0.025959857
atU2.3,1.824138322,1.63E-13,6.81E-12,1.816091918,4.40E-14,2.04E-12,0.763687475,0.001498873,0.0075042
