"Gene.ID","Col.D.N","Col.DL.N","Col.WL.N","Col.D.F","Col.DL.F","Col.WL.F","Col.D.P","Col.DL.P","Col.WL.P","Col.D.SM","Col.DL.SM","Col.WL.SM"
"atU1-10",49515,33165,8555,12887,11090,10954,796,274,136,116,201,119
"atU1-11p",0,1,0,0,0,0,0,0,0,0,0,0
"atU1-12p",386,337,143,463,473,749,3,2,6,1,0,7
"atU1-13p",3,0,0,0,0,0,2,0,0,0,0,0
"atU1-14p",2,0,0,1,0,0,0,0,0,0,0,0
"atU12",6898,4607,583,8344,7752,4688,77,18,92,16,19,20
"atU1-2",246323,178732,55164,75968,61655,70424,6379,3098,1939,1253,3131,1547
"atU1-3",475410,333780,86480,133975,101845,100364,11525,5662,3160,2239,5796,2520
"atU1-4",273380,188040,44789,85317,68382,61172,5597,2372,894,1038,2212,592
"atU1-5",1002325,700449,171934,319127,243510,210552,28260,11778,5640,4968,13624,5197
"atU1-6",1628002,1136902,296113,557049,443105,387473,50541,22805,10721,8468,23784,8994
"atU1-7",1622584,1132559,295030,556362,442000,386064,50507,22771,10704,8457,23762,8978
"atU1-8",64686,43861,15535,24571,22502,22645,1528,646,265,221,573,231
"atU1-9",73095,50333,16133,29906,26820,25033,1542,629,307,260,523,276
"atU1a",255516,194146,48649,80114,68809,66574,5310,2568,976,1007,2324,662
"atU2.2",10774,5361,2350,1717,1548,2165,199,67,158,7,20,36
"atU2.3",211275,109813,25257,45127,37220,23926,4320,1537,2589,266,618,490
"atU2.4",175493,92840,25335,42647,35022,24121,3738,1386,2461,265,583,484
"atU2.5",194697,91174,11237,15934,12710,8686,2153,433,714,92,199,160
"atU2.6",97452,50387,10124,19631,14885,10017,1726,419,836,104,202,198
"atU2.7",145500,77270,18609,27504,23636,14492,2998,1211,1581,184,436,356
"atU2.9",44025,18336,4823,25496,17065,13423,670,205,1518,133,127,102
"atU2-1",148674,74591,17413,48884,36619,25960,2830,933,2850,260,410,373
"atU2-10",149377,72180,19291,60456,42490,31777,3082,933,3593,323,509,355
"atU2-10b/12",157075,73476,22444,70428,49529,38583,3365,1040,4337,385,552,446
"atU2-11",54738,31661,9612,12531,11381,8555,1170,460,882,61,168,189
"atU2-13",142928,80214,19840,26870,24048,15902,2856,1188,1707,179,437,351
"atU2-14",107970,57009,11291,21191,18528,10613,2094,912,981,133,297,225
"atU2-15",19215,10777,4692,6318,5755,7834,319,98,351,29,72,95
"atU2-16",1376,624,94,1722,1089,850,19,2,75,10,0,2
"atU2-17",15,20,21,17,23,71,0,0,0,0,0,0
"atU2-18p",0,0,0,0,0,0,0,0,0,0,0,0
"atU2-8",44488,26525,7506,17903,15147,14507,710,267,675,51,124,160
"atU4.1",82395,42656,10049,17374,13358,9597,973,172,425,78,114,183
"atU4.2",532112,273521,49334,53866,41633,24566,6157,1112,1210,244,703,854
"atU4.3p",1,0,0,0,0,0,0,0,0,0,0,0
"atU4-10",1,2,0,1,1,3,1,0,0,0,0,0
"atU4-11p",0,0,0,0,0,0,0,0,0,0,0,0
"atU4-4",536988,279036,49439,55035,42893,24928,6363,1066,1299,287,612,835
"atU4-5",53614,26500,7909,10594,8234,7056,672,147,344,55,70,155
"atU4-6",232575,116063,24565,21887,16201,10952,2851,447,637,103,267,380
"atU4-7",29774,14808,2941,3578,2698,1880,324,78,95,21,36,62
"atU4-8",239931,118737,24922,23075,17108,11779,2967,454,659,100,291,383
"atU4-9",5732,2961,561,7910,6396,4909,28,11,67,20,9,16
"atU4atac",8814,4877,818,7648,7792,3920,68,25,27,20,33,37
"atU5.1",750,566,223,2018,1475,1271,13,7,143,17,3,2
"atU5.1b",42656,29022,6043,84397,59792,35798,1547,400,5748,943,191,198
"atU5-10",4781,2201,261,2312,1741,1177,86,5,172,22,5,7
"atU5-11",1905,1048,115,1085,680,576,17,1,40,6,0,4
"atU5-12",498,309,98,1658,1157,977,17,9,123,17,2,2
"atU5-13",90,47,17,141,101,132,1,1,4,0,1,0
"atU5-2",2019,1089,337,5163,3524,2177,119,26,459,72,13,13
"atU5-3",40532,27729,5892,81728,57899,34421,1537,390,5598,927,190,194
"atU5-4",21747,14251,3540,44111,31862,19492,972,228,3575,499,105,122
"atU5-5",32023,21583,4716,62610,44741,25983,1324,311,4439,698,142,135
"atU5-6",20389,14068,2914,40507,27908,17530,735,185,2993,464,106,133
"atU5-7",504,290,87,820,584,403,13,4,74,12,1,5
"atU5-8",984,530,77,706,473,313,19,2,52,7,1,3
"atU5-9",1202,585,86,1193,868,565,24,7,77,11,6,2
"atU6.1",48037,31887,2562,9822,7558,4510,1007,78,1481,76,20,27
"atU6.26",48130,32098,2592,9882,7593,4522,1002,77,1484,76,20,27
"atU6.29",20420,13552,1297,4510,3337,1920,612,39,783,42,9,7
