Gene.ID,FPKM.D.WT,FPKM.DTL12h.WT,FPKM.DTL24h.WT,FPKM.DTL48h.WT,FPKM.DTL24h.u5
AT1G01010,18.87075426,12.98882409,10.19086986,9.102299687,9.402349573
AT1G01020,11.27754406,8.881195846,9.959751613,9.072784453,8.601969845
AT1G01030,0.895777087,0.518165694,0.719291161,1.555678033,0.701584907
AT1G01040,13.97759848,11.44893567,9.277612279,9.492992248,9.572581726
AT1G01046,18.58883823,10.54600051,7.603552763,6.561842427,7.712067592
AT1G01050,47.86346614,35.29334488,38.97288215,42.70007133,39.26065127
AT1G01060,13.64902156,4.600041497,91.46400523,74.89770052,91.22398263
AT1G01070,9.100510428,3.846323944,3.387852131,3.92113218,2.848791711
AT1G01080,8.666757668,21.3797273,30.04036173,45.50276816,32.53192992
AT1G01090,60.35489883,69.58357931,97.09646293,102.6038937,96.08386008
AT1G01100,129.9307674,135.7846846,181.6428771,241.8325452,158.2822884
AT1G01110,3.771844267,1.544509711,0.866926997,1.218782822,0.970326475
AT1G01120,241.972864,181.5669754,101.0126884,49.49077908,94.46928819
AT1G01130,10.6179444,4.404009813,5.283485181,5.221522197,3.91055632
AT1G01140,33.42385289,28.86285786,33.03308939,23.94173465,32.94491144
AT1G01150,0.031309958,0.082894327,0,0.04401816,0.046320068
AT1G01160,38.37533571,38.97514923,38.95488152,36.08028899,36.8665946
AT1G01170,43.49788147,46.92253508,62.02258373,59.18912593,62.28439217
AT1G01180,34.99961617,27.17043758,26.59259023,11.88537941,25.93177801
AT1G01183,2.71296558,0.855081122,0.500456414,0.635685683,0.836160691
AT1G01190,2.923681353,0.704672793,0.88830299,3.072692574,1.505375764
AT1G01200,5.585891987,1.478362292,1.058546168,1.417652806,0.938134886
AT1G01210,10.30726146,10.94013411,9.626725877,14.22971522,7.710159609
AT1G01220,6.003026791,7.783762678,7.331061368,10.01529771,7.077552727
AT1G01225,3.417446584,2.41471098,1.97719781,2.358588661,2.37851615
AT1G01230,44.65140801,27.00065062,25.06966708,22.35240667,23.90274151
AT1G01240,16.43050162,9.513754205,8.364434733,5.301223348,9.320730093
AT1G01250,0.225319251,1.043947525,1.039107032,0.930519699,1.041681669
AT1G01260,10.92853594,5.914031659,4.733438152,5.924929872,4.697984328
AT1G01290,8.137330622,4.715173706,5.680588885,6.878049887,5.951842275
AT1G01300,42.58755126,40.13822115,25.36867443,28.97556768,21.34448175
AT1G01310,0.308228433,0.136007785,0.360103233,0.39722222,0.246996904
AT1G01320,20.51958218,66.54129047,65.25230468,98.52032702,69.40807727
AT1G01340,2.161315778,4.636156888,2.164669627,3.283744917,2.142389381
AT1G01350,16.97495374,16.94420166,13.17100772,14.2204749,13.04830508
AT1G01355,0.68596624,0.302687031,0.337437582,0.100457162,0.274847352
AT1G01360,17.09889319,18.19386348,14.16643966,11.41605757,14.02835089
AT1G01370,1.551682112,1.707278329,1.457203049,1.844346066,1.074741448
AT1G01380,3.173597909,1.867160746,1.300952271,1.36330015,1.478065784
AT1G01390,6.533429909,2.119539318,0.705981543,0.778247545,1.557007718
AT1G01400,0,0,0,0,0
AT1G01420,2.003532068,6.296171828,6.816094835,7.466938737,5.460240063
AT1G01430,40.49213427,37.29844623,51.92364279,36.75195624,52.95694826
AT1G01440,12.9701484,13.4019916,12.30097108,10.42210046,13.13824134
AT1G01448,11.6885306,10.04035824,8.862651013,7.740725375,8.588975334
AT1G01450,14.26722935,13.24631402,11.45347453,10.27455665,11.455579
AT1G01453,0.624584965,1.075692052,0.975222732,0.787932404,0.655884446
AT1G01460,0,0.020667176,0.020159921,0,0
AT1G01470,58.34385437,188.5606115,60.60571725,34.69167371,42.26196808
AT1G01480,1.723152945,2.193853684,0.555148459,0.605638161,0.421881076
AT1G01490,56.36926131,32.23430509,34.9745049,28.99339969,35.74099599
