Gene.ID,FPKM.WT_D,FPKM.WT_DTL6h,FPKM.WT_WL
AT1G01010,4.926678341,3.609026924,2.514252493
AT1G01020,7.348891836,8.13291768,3.651383728
AT1G01030,0.285776125,0.316910983,1.329524627
AT1G01040,5.856887437,5.82134491,4.112167944
AT1G01050,6.679155185,9.28068188,38.20416236
AT1G01060,4.239048041,2.027839532,40.18310858
AT1G01070,5.64406366,3.375123212,2.325367952
AT1G01080,1.698417069,3.625881293,15.43462272
AT1G01090,266.4838583,174.6247439,67.98320409
AT1G01100,40.75789304,30.8653998,49.10031166
AT1G01110,2.069245344,0.583757888,0.709417355
AT1G01120,54.56568493,48.87067254,22.59734823
AT1G01130,0.400480748,0.029271051,0.401588304
AT1G01140,6.549146802,5.831342152,15.18790992
AT1G01150,0,0,0.051243333
AT1G01160,15.03275804,7.56976935,5.060833818
AT1G01170,6.470145586,6.330219967,18.50212661
AT1G01180,23.44632901,22.85041766,5.31259502
AT1G01190,1.147150916,1.548390109,0.445664814
AT1G01200,2.177427433,1.236804963,0.94143526
AT1G01210,3.646838452,3.086863822,4.002036328
AT1G01220,3.192704679,3.960787533,4.850233796
AT1G01225,0.801798156,0.519785373,0.762702527
AT1G01230,20.5833561,14.76082956,8.64252537
AT1G01240,3.519297674,3.014311579,1.147861914
AT1G01250,0.042138126,0.184791987,0.891189226
AT1G01260,12.23895669,7.800033554,2.992624267
AT1G01270,0,0,0
AT1G01280,0,0,0
AT1G01290,1.072848986,0.869006951,1.097408549
AT1G01300,87.13934021,39.56808692,22.14250826
AT1G01305,0,0,0
AT1G01310,0.076857871,0.044940201,0
AT1G01320,13.11205526,78.86427135,108.6142348
AT1G01335,0,0,0
AT1G01340,1.149695466,2.366149257,2.120347098
AT1G01350,1.950563268,1.837095239,2.043074767
AT1G01355,0.566597015,0.412561792,0.015592836
AT1G01360,3.272057641,3.435438214,2.972663825
AT1G01370,0.469577184,0.320846257,0.754170891
AT1G01380,1.274949689,1.041110267,0.208403553
AT1G01390,3.154317577,2.04466899,0.991741763
AT1G01400,0.008197614,0,0
AT1G01410,0,0,0
AT1G01420,0.777008902,2.453388985,6.006598085
AT1G01430,12.92261201,18.62017407,31.36499771
AT1G01440,5.054654322,5.32929644,3.93783584
AT1G01448,4.811150545,2.226611786,1.681190081
AT1G01450,0,0,0.009688967
AT1G01453,0.438025819,0.373205898,0.492858373
AT1G01460,0,0,0
AT1G01470,17.37295068,45.33158563,12.57333221
AT1G01480,0.708054998,1.035031717,0.158884066
AT1G01490,6.53978444,6.34380411,7.539258269
AT1G01500,7.051612162,5.708102546,2.802964048
AT1G01510,16.17413716,16.70431269,11.14657783
AT1G01520,0.277805148,0.725785658,2.577747226
AT1G01530,0,0,0
AT1G01540,18.69666942,15.94989679,18.08598179
AT1G01550,46.82630879,35.32824484,40.57164198
AT1G01560,0.208245113,0.178192274,0.229656829
AT1G01570,0.980952098,1.432495722,0.907858777
AT1G01580,6.214697139,1.205505119,18.78241946
AT1G01590,0.017885418,0.004183172,0.031304521
AT1G01600,3.224382909,0.56702423,1.768038358
AT1G01610,41.35150538,53.83482471,34.87650367
AT1G01620,685.7792487,194.390768,37.07662423
AT1G01630,6.695410584,5.113527891,14.74576267
AT1G01640,5.968532467,2.203127491,0.486341398
AT1G01650,34.95030061,32.74495464,6.577728172
AT1G01660,0.250176924,0.09752201,0.162177813
AT1G01670,0.437988857,0.434397609,0.242596167
AT1G01680,0.031630219,0.036989533,0.034601121
AT1G01690,0.82344543,0.791641713,1.097893457
AT1G01695,0.016983596,0.052963301,0.033028976
AT1G01700,0.048979574,0.020828547,0.051956396
AT1G01710,12.93991616,11.07989291,7.8553428
AT1G01715,1.656400154,1.55212727,1.750031301
AT1G01720,67.46415284,64.15327173,24.66445241
AT1G01725,3.635649252,1.655694913,2.625926567
AT1G01730,9.103973779,5.006890269,6.530727996
AT1G01740,0.549708201,0.712490805,1.930969981
AT1G01750,1.388236134,1.28828933,4.062737328
AT1G01760,1.772895764,2.253575058,2.31778697
AT1G01770,13.98660481,13.84433271,5.9323625
AT1G01780,20.55182754,15.25508039,5.452876327
AT1G01790,2.75952379,10.7064575,20.83338532
AT1G01800,9.091054286,8.542307668,13.52489934
AT1G01810,0.129366628,0.033619124,0.041931119
AT1G01820,21.97070865,19.36133887,12.32362897
AT1G01830,2.247416171,1.668059326,1.699896578
AT1G01840,0.182701071,0.25371805,0.099930732
