Gene.ID,Chr,start,end,strand,gene_length,type,detailed_type,symbol,annotation
atU1-10,Chr1,4007237,4007397,-,161,canonical ncRNA,snRNA,U1-10,U1
atU1-11p,Chr4,9370764,9370819,+,56,canonical ncRNA,snRNA,U1-11p,U1
atU1-12p,Chr4,12298792,12298861,-,70,canonical ncRNA,snRNA,U1-12p,U1
atU1-13p,Chr5,20095049,20095205,-,157,canonical ncRNA,snRNA,U1-13p,U1
atU1-14p,Chr1,12986844,12986930,+,87,canonical ncRNA,snRNA,U1-14p,U1
atU12,Chr1,22603120,22603295,+,176,canonical ncRNA,snRNA,U12,U12
atU1-2,Chr4,12225611,12225776,+,166,canonical ncRNA,snRNA,U1-2,U1
atU1-3,Chr5,20996760,20996923,+,164,canonical ncRNA,snRNA,U1-3,U1
atU1-4,Chr5,8972804,8972968,-,165,canonical ncRNA,snRNA,U1-4,U1
atU1-5,Chr1,2538076,2538241,-,166,canonical ncRNA,snRNA,U1-5,U1
atU1-6,Chr3,1681809,1681971,+,163,canonical ncRNA,snRNA,U1-6,U1
atU1-7,Chr3,1657760,1657922,+,163,canonical ncRNA,snRNA,U1-7,U1
atU1-8,Chr5,9832572,9832736,+,165,canonical ncRNA,snRNA,U1-8,U1
atU1-9,Chr5,9494427,9494591,-,165,canonical ncRNA,snRNA,U1-9,U1
atU1a,Chr5,19885932,19886097,-,166,canonical ncRNA,snRNA,U1a,U1
atU2.2,Chr3,21346741,21346936,+,196,canonical ncRNA,snRNA,U2.2,U2
atU2.3,Chr3,21397423,21397618,-,196,canonical ncRNA,snRNA,U2.3,U2
atU2.4,Chr3,21041821,21042015,-,195,canonical ncRNA,snRNA,U2.4,U2
atU2.5,Chr5,2975012,2975207,+,196,canonical ncRNA,snRNA,U2.5,U2
atU2.6,Chr3,21004493,21004688,+,196,canonical ncRNA,snRNA,U2.6,U2
atU2.7,Chr5,24713408,24713603,-,196,canonical ncRNA,snRNA,U2.7,U2
atU2.9,Chr4,815273,815466,+,194,canonical ncRNA,snRNA,U2.9,U2
